ID_BairochEA,CITY,BAIy1850,MITy1900,CHAy1900,COUNTRY,LATTITUDE,LONGITUDE
463,AALST,17,NA,NA,BEL,50.56,4.02
1867,AARSCHOT,4,NA,NA,BEL,50.59,4.5
54,ANTWERPEN,88,273,NA,BEL,51.13,4.25
1218,ARDOOIE,8,NA,NA,BEL,50.59,3.12
1386,BEVEREN,7,NA,NA,BEL,51.13,4.15
114,BRUGGE,50,NA,53,BEL,51.13,3.14
29,BRUXELLES,132,599,NA,BEL,50.5,4.2
1220,DENDERMONDE,8,NA,NA,BEL,51.02,4.07
1221,DIEST,8,NA,NA,BEL,50.59,5.03
1063,EEKLOO,9,NA,NA,BEL,51.11,3.34
1222,EVERGEM,8,NA,NA,BEL,51.07,3.42
1223,GEERAARDSBERGEN,8,NA,NA,BEL,50.46,3.52
40,GENT,107,NA,198,BEL,51.03,3.43
1389,HALLE,7,NA,NA,BEL,50.44,4.14
933,HAMME,10,NA,NA,BEL,51.06,4.08
934,HASSELT,10,NA,NA,BEL,50.56,5.2
464,IEPER,17,NA,NA,BEL,50.51,2.53
935,IZEGEM,10,NA,NA,BEL,50.55,3.12
323,KORTRIJK,22,NA,NA,BEL,50.49,3.1
1390,KRUISHOUTEM,7,NA,NA,BEL,50.54,3.31
221,LEUVEN,30,NA,42,BEL,50.53,4.42
607,LIER,14,NA,NA,BEL,51.08,4.34
504,LOKEREN,16,NA,NA,BEL,51.06,4
222,MECHELEN,30,NA,56,BEL,51.02,4.28
1224,MENEN,8,NA,NA,BEL,50.48,3.07
1066,MEULEBEKE,9,NA,NA,BEL,50.57,3.17
1947,NIEUWPOORT,3,NA,NA,BEL,51.08,2.45
1225,NIVELLES,8,NA,NA,BEL,50.36,4.2
608,OOSTENDE,14,NA,39,BEL,51.13,2.55
828,POPERINGE,11,NA,NA,BEL,50.51,2.43
829,ROESELARE,11,NA,NA,BEL,50.57,3.08
830,RONSE,11,NA,NA,BEL,50.45,3.36
1391,RUISELEDE,7,NA,NA,BEL,51.03,3.24
373,ST-NIKLAAS,20,NA,NA,BEL,51.1,4.08
831,ST-TRUIDEN,11,NA,NA,BEL,50.48,5.12
1227,TEMSE,8,NA,NA,BEL,51.08,4.13
747,TIELT,12,NA,NA,BEL,51,3.19
936,TIENEN,10,NA,NA,BEL,50.48,4.57
1558,TONGEREN,6,NA,NA,BEL,50.47,5.28
1228,TORHOUT,8,NA,NA,BEL,51.04,3.06
554,TURNHOUT,15,NA,NA,BEL,51.19,4.57
1745,VEURNE,5,NA,NA,BEL,51.04,2.4
1393,WAREGEM,7,NA,NA,BEL,50.53,3.25
1067,WETTEREN,9,NA,NA,BEL,51,3.53
1229,WINGENE,8,NA,NA,BEL,51.04,3.16
832,ZELE,11,NA,NA,BEL,51.04,4.02
1394,ZOMERGEM,7,NA,NA,BEL,51.07,3.33
1988,ZOUTLEEUW,2,NA,NA,BEL,50.5,5.06
930,ALKMAAR,10,NA,NA,PB,52.38,4.44
744,AMERSFOORT,12,NA,NA,PB,52.09,5.24
15,AMSTERDAM,225,511,NA,PB,52.22,4.54
931,APELDOORN,10,NA,NA,PB,52.13,5.58
1059,BERGEN-OP-ZOOM,9,NA,NA,PB,51.3,4.17
550,BREDA,15,NA,NA,PB,51.35,4.46
426,DELFT,18,NA,31,PB,52,4.21
551,DEVENTER,15,NA,NA,PB,52.15,6.1
347,DORDRECHT,21,NA,38,PB,51.48,4.4
1864,EDAM,4,NA,NA,PB,52.31,5.02
1735,ENKHUIZEN,5,NA,NA,PB,52.42,5.17
1736,FRANEKER,5,NA,NA,PB,53.11,5.32
1737,GOES,5,NA,NA,PB,51.3,3.54
1060,GORINCHEM,9,NA,NA,PB,51.5,4.59
605,GOUDA,14,NA,NA,PB,52.01,4.43
190,GRONINGEN,34,NA,67,PB,53.13,6.33
261,HAARLEM,26,NA,65,PB,52.23,4.38
1553,HARDERWIJK,6,NA,NA,PB,52.21,5.36
1061,HARLINGEN,9,NA,NA,PB,53.1,5.24
1738,HEERLEN,5,NA,NA,PB,50.54,5.59
1739,HELMOND,5,NA,NA,PB,51.29,5.4
1865,HENGELO,4,NA,NA,PB,52.15,6.45
1740,HILVERSUM,5,NA,NA,PB,52.14,5.1
1381,HOOGEVEEN,7,NA,NA,PB,52.43,6.29
1062,HOORN,9,NA,NA,PB,52.38,5.04
826,KAMPEN,11,NA,NA,PB,52.33,5.54
289,LEEUWARDEN,24,NA,NA,PB,53.12,5.46
173,LEIDEN,37,NA,54,PB,52.09,4.3
1866,MAASLUIS,4,NA,NA,PB,51.55,4.15
275,MAASTRICHT,25,NA,34,PB,50.52,5.43
1942,MEDEMBLIK,3,NA,NA,PB,52.46,5.06
1554,MEPPEL,6,NA,NA,PB,52.42,6.11
503,MIDDELBURG,16,NA,NA,PB,51.3,3.37
1943,MONNIKENDAM,3,NA,NA,PB,52.27,5.02
1944,NAARDEN,3,NA,NA,PB,52.17,5.09
1382,NIJKERK,7,NA,NA,PB,52.13,5.3
1383,ROERMOND,7,NA,NA,PB,51.12,6
1555,ROOSENDAAL,6,NA,NA,PB,51.32,4.28
51,ROTTERDAM,90,319,NA,PB,51.55,4.28
552,SCHIEDAM,15,NA,NA,PB,51.55,4.24
1945,SCHOONHOVEN,3,NA,NA,PB,51.56,4.51
69,SGRAVENHAGUE,72,212,NA,PB,52.05,4.16
322,SHERTOGENBOSCH,22,NA,32,PB,51.41,5.19
1213,SNEEK,8,NA,NA,PB,53.02,5.4
1556,TIEL,6,NA,NA,PB,51.54,5.25
553,TILBURG,15,NA,41,PB,51.34,5.05
124,UTRECHT,48,NA,104,PB,52.05,5.08
1214,VEENDAM,8,NA,NA,PB,53.06,6.53
1215,VENLO,8,NA,NA,PB,51.24,6.1
1216,VLAARDINGEN,8,NA,NA,PB,51.54,4.21
932,VLISSINGEN,10,NA,NA,PB,51.26,3.35
1384,WEERT,7,NA,NA,PB,51.15,5.43
1217,WINTERSWIJK,8,NA,NA,PB,51.58,6.44
1557,WORKUM,6,NA,NA,PB,52.57,5.26
827,ZAANDAM,11,NA,NA,PB,52.26,4.49
1385,ZIERIKZEE,7,NA,NA,PB,51.38,3.55
745,ZUTPHEN,12,NA,NA,PB,52.08,6.12
606,ZWOLLE,14,NA,NA,PB,52.3,6.05
